Model,Type,Accuracy,Precision,Recall,F1 Score
Logistic Regression,Base,0.9888888888888888,1.0,0.9777777777777776,0.9887640449438202
Decision Tree,Base,0.9833333333333332,0.967741935483871,1.0,0.9836065573770492
Decision Tree,Tuned,0.9833333333333332,0.967741935483871,1.0,0.9836065573770492
Random Forest,Base,0.9833333333333332,0.967741935483871,1.0,0.9836065573770492
Random Forest,Tuned,0.9833333333333332,0.967741935483871,1.0,0.9836065573770492
XGBoost,Base,0.9833333333333332,0.967741935483871,1.0,0.9836065573770492
XGBoost,Tuned,0.9833333333333333,0.967741935483871,1.0,0.9836065573770492
