Model,Type,MAE,RMSE,R2,CV Score
Linear Regression,Base,220.9643835956204,269.2662292180963,0.4497629177956874,0.5242095096558664
Decision Tree,Base,8.706178540082076,26.11917909328247,0.9948226786147488,0.9950609432361476
Decision Tree,Tuned,4.8193156765226474e-11,6.848292390568049e-11,1.0,1.0
Random Forest,Base,8.621402313117743,25.81032960676864,0.994944394475816,0.9952878926381088
Random Forest,Tuned,2.0688743398082728e-11,2.968035224756988e-11,1.0,1.0
XGBoost,Base,20.218261592544703,26.65727394457529,0.994607159837672,0.995292065171756
XGBoost,Tuned,6.704770428322462,10.361709978783328,0.9991852038972184,0.9994546269474706
